Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,state
pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206,Result Declared,Uttar Pradesh
puducherry,1,VE VAITHILINGAM,Indian National Congress,A NAMASSIVAYAM,Bharatiya Janata Party,136516,Result Declared,Puducherry
pune,34,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Result Declared,Maharashtra
puri,17,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709,Result Declared,Odisha
purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847,Result Declared,Bihar
purvi champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287,Result Declared,Bihar
rae bareli,36,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030,Result Declared,Uttar Pradesh
raichur,6,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Result Declared,Karnataka
raigad,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784,Result Declared,Maharashtra
raiganj,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197,Result Declared,West Bengal
raigarh,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391,Result Declared,Chhattisgarh
raipur,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285,Result Declared,Chhattisgarh
rajahmundry,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139,Result Declared,Andhra Pradesh
rajampet,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071,Result Declared,Andhra Pradesh
rajkot,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,DHANANI PARESH,Indian National Congress,484260,Result Declared,Gujarat
rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,TALA MARANDI,Bharatiya Janata Party,178264,Result Declared,Jharkhand
rajnandgaon,6,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411,Result Declared,Chhattisgarh
rajsamand,22,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,DR. DAMODAR GURJAR,Indian National Congress,392223,Result Declared,Rajasthan
ramanathapuram,35,NAVASKANI K,Indian Union Muslim League,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,166782,Result Declared,Tamil Nadu
rampur,7,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434,Result Declared,Uttar Pradesh
ramtek,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Result Declared,Maharashtra
ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,Result Declared,West Bengal
ranchi,8,SANJAY SETH,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512,Result Declared,Jharkhand
ratlam,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Result Declared,Madhya Pradesh
ratnagiri- sindhudurg,46,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Result Declared,Maharashtra
raver,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,272183,Result Declared,Maharashtra
rewa,10,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Result Declared,Madhya Pradesh
robertsganj,80,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234,Result Declared,Uttar Pradesh
rohtak,7,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Result Declared,Haryana
sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682,Result Declared,Gujarat
sagar,5,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Result Declared,Madhya Pradesh
saharanpur,1,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Result Declared,Uttar Pradesh
salem,15,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357,Result Declared,Tamil Nadu
salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Result Declared,Uttar Pradesh
samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Result Declared,Bihar
sambalpur,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Result Declared,Odisha
sambhal,8,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Result Declared,Uttar Pradesh
sangrur,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Result Declared,Punjab
sant kabir nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Result Declared,Uttar Pradesh
saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Result Declared,Bihar
sasaram,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Result Declared,Bihar
satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,32771,Result Declared,Maharashtra
satna,9,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Result Declared,Madhya Pradesh
secunderabad,8,G. KISHAN REDDY,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944,Result Declared,Telangana
shahdol,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Result Declared,Madhya Pradesh
sheohar,4,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Result Declared,Bihar
shimla,4,Suresh Kumar Kashyap,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451,Result Declared,Himachal Pradesh
shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Result Declared,Karnataka
shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared,Maharashtra
shirur,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared,Maharashtra
shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Result Declared,Uttar Pradesh
sidhi,11,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Result Declared,Madhya Pradesh
sikar,5,AMRARAM,Communist Party of India (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896,Result Declared,Rajasthan
sikkim,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Result Declared,Sikkim
silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Result Declared,Assam
singhbhum,10,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402,Result Declared,Jharkhand
sirsa,3,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497,Result Declared,Haryana
sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356,Result Declared,Bihar
sitapur,30,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Result Declared,Uttar Pradesh
sivaganga,31,KARTI P CHIDAMBARAM,Indian National Congress,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,205664,Result Declared,Tamil Nadu
solapur,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared,Maharashtra
sonipat,6,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816,Result Declared,Haryana
sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Result Declared,Assam
south delhi,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Result Declared,Delhi
south goa,2,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535,Result Declared,Goa
srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,Result Declared,West Bengal
srikakulam,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,Result Declared,Andhra Pradesh
srinagar,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416,Result Declared,Jammu and Kashmir
sriperumbudur,5,T R BAALU,Dravida Munnetra Kazhagam,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,487029,Result Declared,Tamil Nadu
sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Result Declared,Uttar Pradesh
sundargarh,2,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Result Declared,Odisha
supaul,8,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Result Declared,Bihar
surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,No Candidate contested,No Party contested,543000,Uncontested,Gujarat
surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Result Declared,Gujarat
surguja,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822,Result Declared,Chhattisgarh
tamluk,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,Result Declared,West Bengal
tehri garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared,Uttarakhand
tenkasi,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199,Result Declared,Tamil Nadu
thane,25,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Result Declared,Maharashtra
thanjavur,30,MURASOLI S,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583,Result Declared,Tamil Nadu
theni,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825,Result Declared,Tamil Nadu
thirupathi,23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,Result Declared,Andhra Pradesh
thiruvananthapuram,20,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Result Declared,Tamil Nadu
thoothukkudi,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738,Result Declared,Tamil Nadu
thrissur,10,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Result Declared,Kerala
tikamgarh,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared,Madhya Pradesh
tiruchirappalli,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Result Declared,Tamil Nadu
tirunelveli,38,ROBERT BRUCE C,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Result Declared,Tamil Nadu
tiruppur,18,"SUBBARAYAN, K.",Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Result Declared,Tamil Nadu
tiruvannamalai,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Result Declared,Tamil Nadu
tonk-sawai madhopur,12,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Result Declared,Rajasthan
tripura east,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819,Result Declared,Tripura
tripura west,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Result Declared,Tripura
tumkur,19,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared,Karnataka
udaipur,19,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Result Declared,Rajasthan
udhampur,4,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373,Result Declared,Jammu and Kashmir
udupi chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared,Karnataka
ujjain,22,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared,Madhya Pradesh
uluberia,26,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,Result Declared,West Bengal
unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Result Declared,Uttar Pradesh
uttara kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared,Karnataka
vadakara,3,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Result Declared,Kerala
vadodara,20,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Result Declared,Gujarat
vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Result Declared,Bihar
valmiki nagar,1,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Result Declared,Bihar
valsad,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Result Declared,Gujarat
varanasi,77,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Result Declared,Uttar Pradesh
vidisha,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared,Madhya Pradesh
vijayawada,12,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085,Result Declared,Andhra Pradesh
viluppuram,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Result Declared,Tamil Nadu
virudhunagar,34,MANICKAM TAGORE B,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Result Declared,Tamil Nadu
visakhapatnam,4,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,Result Declared,Andhra Pradesh
vizianagaram,3,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,Result Declared,Andhra Pradesh
warangal,15,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339,Result Declared,Telangana
wardha,8,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared,Maharashtra
wayanad,4,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Result Declared,Kerala
west delhi,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Result Declared,Delhi
yavatmal- washim,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared,Maharashtra
zahirabad,5,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188,Result Declared,Telangana
